avg_temp,year,city,country
6.07,1743,Philadelphia,United States
13.74,1744,Philadelphia,United States
3.96,1745,Philadelphia,United States
,1746,Philadelphia,United States
,1747,Philadelphia,United States
,1748,Philadelphia,United States
,1749,Philadelphia,United States
12.36,1750,Philadelphia,United States
13.05,1751,Philadelphia,United States
5.64,1752,Philadelphia,United States
11.85,1753,Philadelphia,United States
12.29,1754,Philadelphia,United States
9.12,1755,Philadelphia,United States
12.41,1756,Philadelphia,United States
11.26,1757,Philadelphia,United States
10.43,1758,Philadelphia,United States
11.35,1759,Philadelphia,United States
10.12,1760,Philadelphia,United States
12.47,1761,Philadelphia,United States
11.8,1762,Philadelphia,United States
9.63,1763,Philadelphia,United States
12.02,1764,Philadelphia,United States
11.39,1765,Philadelphia,United States
12.4,1766,Philadelphia,United States
10.96,1767,Philadelphia,United States
10.89,1768,Philadelphia,United States
11.43,1769,Philadelphia,United States
11.32,1770,Philadelphia,United States
12.62,1771,Philadelphia,United States
11.99,1772,Philadelphia,United States
12.37,1773,Philadelphia,United States
11.92,1774,Philadelphia,United States
12.56,1775,Philadelphia,United States
11.6,1776,Philadelphia,United States
11.11,1777,Philadelphia,United States
9.36,1778,Philadelphia,United States
3.45,1779,Philadelphia,United States
,1780,Philadelphia,United States
12.09,1781,Philadelphia,United States
11.49,1782,Philadelphia,United States
11.16,1783,Philadelphia,United States
10.81,1784,Philadelphia,United States
10.85,1785,Philadelphia,United States
11.35,1786,Philadelphia,United States
11.35,1787,Philadelphia,United States
12.1,1788,Philadelphia,United States
11.77,1789,Philadelphia,United States
11.73,1790,Philadelphia,United States
11.74,1791,Philadelphia,United States
11.11,1792,Philadelphia,United States
12.18,1793,Philadelphia,United States
12.16,1794,Philadelphia,United States
11.59,1795,Philadelphia,United States
11.34,1796,Philadelphia,United States
11.25,1797,Philadelphia,United States
12.2,1798,Philadelphia,United States
11.69,1799,Philadelphia,United States
11.81,1800,Philadelphia,United States
12.22,1801,Philadelphia,United States
12.54,1802,Philadelphia,United States
12.42,1803,Philadelphia,United States
12.07,1804,Philadelphia,United States
12.71,1805,Philadelphia,United States
11.73,1806,Philadelphia,United States
11.53,1807,Philadelphia,United States
11.85,1808,Philadelphia,United States
11.13,1809,Philadelphia,United States
11.57,1810,Philadelphia,United States
11.67,1811,Philadelphia,United States
10.17,1812,Philadelphia,United States
11.25,1813,Philadelphia,United States
11.01,1814,Philadelphia,United States
10.63,1815,Philadelphia,United States
10.29,1816,Philadelphia,United States
10.16,1817,Philadelphia,United States
10.52,1818,Philadelphia,United States
11.37,1819,Philadelphia,United States
11.35,1820,Philadelphia,United States
10.79,1821,Philadelphia,United States
12.21,1822,Philadelphia,United States
11.17,1823,Philadelphia,United States
11.78,1824,Philadelphia,United States
12.45,1825,Philadelphia,United States
12.35,1826,Philadelphia,United States
11.82,1827,Philadelphia,United States
13.24,1828,Philadelphia,United States
11.5,1829,Philadelphia,United States
12.78,1830,Philadelphia,United States
11.28,1831,Philadelphia,United States
11.52,1832,Philadelphia,United States
11.6,1833,Philadelphia,United States
11.78,1834,Philadelphia,United States
11.07,1835,Philadelphia,United States
10.07,1836,Philadelphia,United States
10.83,1837,Philadelphia,United States
11.32,1838,Philadelphia,United States
11.58,1839,Philadelphia,United States
11.66,1840,Philadelphia,United States
11.31,1841,Philadelphia,United States
11.78,1842,Philadelphia,United States
10.92,1843,Philadelphia,United States
11.52,1844,Philadelphia,United States
11.81,1845,Philadelphia,United States
12.07,1846,Philadelphia,United States
11.68,1847,Philadelphia,United States
11.86,1848,Philadelphia,United States
11.18,1849,Philadelphia,United States
11.59,1850,Philadelphia,United States
11.77,1851,Philadelphia,United States
11.39,1852,Philadelphia,United States
12.12,1853,Philadelphia,United States
12.08,1854,Philadelphia,United States
11.64,1855,Philadelphia,United States
10.57,1856,Philadelphia,United States
10.89,1857,Philadelphia,United States
11.6,1858,Philadelphia,United States
11.57,1859,Philadelphia,United States
11.61,1860,Philadelphia,United States
11.9,1861,Philadelphia,United States
11.38,1862,Philadelphia,United States
11.49,1863,Philadelphia,United States
11.5,1864,Philadelphia,United States
11.95,1865,Philadelphia,United States
11.4,1866,Philadelphia,United States
10.93,1867,Philadelphia,United States
10.39,1868,Philadelphia,United States
11.22,1869,Philadelphia,United States
12.28,1870,Philadelphia,United States
11.53,1871,Philadelphia,United States
11.02,1872,Philadelphia,United States
10.92,1873,Philadelphia,United States
11.58,1874,Philadelphia,United States
10.25,1875,Philadelphia,United States
11.5,1876,Philadelphia,United States
12.21,1877,Philadelphia,United States
12.54,1878,Philadelphia,United States
11.75,1879,Philadelphia,United States
12.41,1880,Philadelphia,United States
12.17,1881,Philadelphia,United States
11.64,1882,Philadelphia,United States
11.09,1883,Philadelphia,United States
11.85,1884,Philadelphia,United States
10.88,1885,Philadelphia,United States
11.18,1886,Philadelphia,United States
11.62,1887,Philadelphia,United States
10.92,1888,Philadelphia,United States
11.97,1889,Philadelphia,United States
12.33,1890,Philadelphia,United States
12.07,1891,Philadelphia,United States
11.29,1892,Philadelphia,United States
11.07,1893,Philadelphia,United States
12.36,1894,Philadelphia,United States
11.49,1895,Philadelphia,United States
11.92,1896,Philadelphia,United States
11.91,1897,Philadelphia,United States
12.39,1898,Philadelphia,United States
11.68,1899,Philadelphia,United States
12.65,1900,Philadelphia,United States
11.38,1901,Philadelphia,United States
11.74,1902,Philadelphia,United States
11.61,1903,Philadelphia,United States
10.32,1904,Philadelphia,United States
11.32,1905,Philadelphia,United States
12.26,1906,Philadelphia,United States
10.84,1907,Philadelphia,United States
12.11,1908,Philadelphia,United States
11.85,1909,Philadelphia,United States
11.77,1910,Philadelphia,United States
12.31,1911,Philadelphia,United States
11.56,1912,Philadelphia,United States
12.99,1913,Philadelphia,United States
11.53,1914,Philadelphia,United States
12.04,1915,Philadelphia,United States
11.5,1916,Philadelphia,United States
10.62,1917,Philadelphia,United States
11.71,1918,Philadelphia,United States
12.34,1919,Philadelphia,United States
11.48,1920,Philadelphia,United States
13.16,1921,Philadelphia,United States
12.36,1922,Philadelphia,United States
12.02,1923,Philadelphia,United States
11.14,1924,Philadelphia,United States
12.18,1925,Philadelphia,United States
11.07,1926,Philadelphia,United States
11.97,1927,Philadelphia,United States
11.84,1928,Philadelphia,United States
12.21,1929,Philadelphia,United States
12.44,1930,Philadelphia,United States
13.18,1931,Philadelphia,United States
12.71,1932,Philadelphia,United States
12.63,1933,Philadelphia,United States
11.78,1934,Philadelphia,United States
11.72,1935,Philadelphia,United States
12.06,1936,Philadelphia,United States
12.42,1937,Philadelphia,United States
12.72,1938,Philadelphia,United States
12.61,1939,Philadelphia,United States
10.88,1940,Philadelphia,United States
12.46,1941,Philadelphia,United States
12.4,1942,Philadelphia,United States
11.99,1943,Philadelphia,United States
12.17,1944,Philadelphia,United States
12.35,1945,Philadelphia,United States
12.9,1946,Philadelphia,United States
12.11,1947,Philadelphia,United States
12.09,1948,Philadelphia,United States
13.53,1949,Philadelphia,United States
12.08,1950,Philadelphia,United States
12.6,1951,Philadelphia,United States
12.75,1952,Philadelphia,United States
13.26,1953,Philadelphia,United States
12.66,1954,Philadelphia,United States
12.42,1955,Philadelphia,United States
12.2,1956,Philadelphia,United States
12.78,1957,Philadelphia,United States
11.34,1958,Philadelphia,United States
12.99,1959,Philadelphia,United States
11.96,1960,Philadelphia,United States
12.17,1961,Philadelphia,United States
11.51,1962,Philadelphia,United States
11.6,1963,Philadelphia,United States
12.23,1964,Philadelphia,United States
11.95,1965,Philadelphia,United States
11.86,1966,Philadelphia,United States
11.46,1967,Philadelphia,United States
12.15,1968,Philadelphia,United States
11.94,1969,Philadelphia,United States
12.13,1970,Philadelphia,United States
12.41,1971,Philadelphia,United States
11.83,1972,Philadelphia,United States
13.08,1973,Philadelphia,United States
12.48,1974,Philadelphia,United States
12.74,1975,Philadelphia,United States
11.93,1976,Philadelphia,United States
12.43,1977,Philadelphia,United States
11.51,1978,Philadelphia,United States
12.07,1979,Philadelphia,United States
12.17,1980,Philadelphia,United States
12,1981,Philadelphia,United States
12.1,1982,Philadelphia,United States
12.66,1983,Philadelphia,United States
12.48,1984,Philadelphia,United States
12.81,1985,Philadelphia,United States
12.62,1986,Philadelphia,United States
12.52,1987,Philadelphia,United States
11.95,1988,Philadelphia,United States
12.07,1989,Philadelphia,United States
13.69,1990,Philadelphia,United States
13.6,1991,Philadelphia,United States
11.94,1992,Philadelphia,United States
12.45,1993,Philadelphia,United States
12.45,1994,Philadelphia,United States
12.54,1995,Philadelphia,United States
11.92,1996,Philadelphia,United States
12.4,1997,Philadelphia,United States
13.86,1998,Philadelphia,United States
13.29,1999,Philadelphia,United States
12.31,2000,Philadelphia,United States
13.07,2001,Philadelphia,United States
13.59,2002,Philadelphia,United States
12.07,2003,Philadelphia,United States
12.69,2004,Philadelphia,United States
12.71,2005,Philadelphia,United States
13.64,2006,Philadelphia,United States
12.97,2007,Philadelphia,United States
13.01,2008,Philadelphia,United States
12.5,2009,Philadelphia,United States
13.28,2010,Philadelphia,United States
13.65,2011,Philadelphia,United States
14.05,2012,Philadelphia,United States
14.01,2013,Philadelphia,United States
